"","GEOID_2020","percentage_age_65_and_over","percentage_prime_age","percentage_employed","percentage_education","population_total","percentage_white","percentage_ethnicity_black_hispanic_latino","median_gross_rent_percent_of_income","percentage_income_below_poverty","percentage_small","percentage_tenure_owner","housing_units_total","percentage_housing_units_vacant","percentage_travel_time_less_than_30","percentage_mhc","percentage_urban","population_1000s","median_household_income_1000s","housing_value_median_1000s","all_permits","year"
"304",180859617003,9.24484161580937,22.9901191514095,95.1028138528139,16.0229098274779,1497.5,93.6770986613071,7.24056454314193,19.6,8.99075591546431,53.1870977086935,89.991037560768,579.5,12.5390495853828,86.3416034749319,31.9747788595834,58.0330253426482,1.4975,65.9239110772358,158.563069105691,433,2000
"305",180859618002,12.3580494321977,17.3012692050768,96.0714285714286,6.76767676767677,1497,96.1479198767334,4.07523510971787,13,2.89172831203766,64.4200626959248,88.2445141065831,687,4.65793304221252,91.3272010512484,42.2125181950509,28.3582089552239,1.497,62.1612319918699,95.4384349593496,433,2000
"306",180859620003,21.0106382978723,23.1914893617021,95.2040816326531,18.3098591549296,1880,92.65605875153,6.74846625766871,23.9,6.10771793448084,67.8527607361963,50.4294478527607,889,7.8740157480315,85.1351351351351,5.96175478065242,100,1.88,55.1604094715447,136.168853658537,433,2000
"307",180859621011,9.61451247165533,19.047619047619,96.8174204355109,19.319022945966,2205,94.199535962877,5.35506402793946,30.1,6.89342403628118,56.1117578579744,67.8696158323632,898,3.89755011135857,86.052871467639,9.9109131403118,88.8143176733781,2.205,68.7216850406504,175.246008130081,433,2000
"308",180859621023,11.2931334959916,22.6559776925758,100,31.1985898942421,2869,93.9393939393939,6.96629213483146,19,3.91783948269304,49.5505617977528,78.4269662921348,952,6.72268907563025,84.4729344729345,10.2941176470588,100,2.869,75.5601870731707,152.100308943089,433,2000
"309",180859622001,9.51724137931034,25.1724137931034,97.1350613915416,13.2712456344587,1450,94.2056074766355,3.46820809248555,19,8.70165745856354,53.1791907514451,83.4296724470135,629,13.3545310015898,67.0588235294118,36.8839427662957,0,1.45,57.7094423170732,103.253865853659,433,2000
"310",180859622002,7.29253981559095,23.3025984911987,99.009900990099,11.5436241610738,1193,96.2311557788945,2.51256281407035,18.8,8.29840737636211,44.2211055276382,85.1758793969849,412,5.33980582524272,94.2073170731707,21.6019417475728,37.6190476190476,1.193,71.1219241056911,133.313215447154,433,2000
"311",180859622003,6.9620253164557,20.5244122965642,93.2584269662921,6.94006309148265,1106,94.6236559139785,5,22.5,19.0777576853526,47.3684210526316,85.2631578947368,389,4.11311053984576,85.8316221765914,33.6760925449871,46.969696969697,1.106,58.9914735772358,149.09437398374,433,2000
"312",180859623003,7.69741207697412,21.5660252156603,96.1741424802111,24.2807825086306,1507,98.3772819472617,2.27272727272727,19.6,5.03059143439837,49.7933884297521,82.4380165289256,513,3.89863547758285,83.2865168539326,13.4502923976608,53.968253968254,1.507,78.4368668292683,179.604613821138,433,2000
"313",180859624001,9.087348217783,20.6032119075597,97.7911646586345,8.12307692307692,2553,97.1861471861472,4.21621621621622,17.9,5.19685039370079,55.4594594594595,86.9189189189189,1014,8.38264299802761,86.2844702467344,29.4871794871795,0,2.553,66.9797457317073,120.838585365854,433,2000
"314",180859624002,12.4299065420561,20.3738317757009,96.958174904943,9.03010033444816,1070,95.4773869346734,3.77833753148615,18,6.56660412757974,53.904282115869,75.3148614609572,424,7.31132075471698,80.4081632653061,12.0283018867925,0,1.07,56.8317093089431,100.548524390244,433,2000
"315",180859625002,15.0900900900901,22.1471471471471,97.8142076502732,5.79010856453559,1332,97.9166666666667,1.22199592668024,22.3,4.65465465465465,52.1384928716904,86.5580448065173,586,17.4061433447099,69.3009118541033,6.8259385665529,0,1.332,60.5139796341463,138.874195121951,433,2000
"316",180859626003,7.41138560687433,25.7787325456498,98.8847583643123,7.73480662983425,931,100,0.609756097560976,14.4,4.83351235230935,48.780487804878,86.890243902439,330,3.63636363636364,71.9334719334719,11.8181818181818,0,0.931,64.9101595121951,150.597341463415,433,2000
"317",180859627001,11.4824335904027,19.1945158526135,95.2012383900929,2.03303684879288,1167,98.8814317673378,1.52173913043478,10.9,8.14053127677806,56.7391304347826,88.4782608695652,635,31.496062992126,74.2105263157895,28.6614173228346,0,1.167,60.3877303658537,112.271670731707,433,2000
"318",180859627003,12.2539682539683,21.0793650793651,96.6707768187423,4.73790322580645,1575,96.8965517241379,1.74520069808028,18.9,7.87301587301587,57.9406631762653,83.5951134380454,661,12.1028744326778,72.8218465539662,13.1618759455371,0,1.575,55.1363619918699,103.404162601626,433,2000
"319",180879701004,9.10106085985483,14.2378559463987,96.4391691394659,18.5866408518877,1791,91.6512059369202,8.96057347670251,14.8,10.0502512562814,50.7168458781362,76.1648745519713,565,4.60176991150442,74.7562296858072,11.858407079646,0,1.791,66.8069044715447,146.68962601626,217,2000
"320",180879702001,15.8067158067158,21.2121212121212,95.2380952380952,13.4708737864078,1221,97.3493975903614,3.58851674641148,17.5,8.70712401055409,51.4354066985646,87.0813397129187,425,4.23529411764706,82.9136690647482,14.3529411764706,37.3853211009174,1.221,61.5284826829268,159.314552845528,217,2000
"321",180879702002,14.0745953553835,20.9711470795215,96.7976710334789,6.89655172413793,1421,92.8082191780822,3.95869191049914,23.1,6.5017667844523,66.9535283993115,61.790017211704,637,7.06436420722135,81.0509554140127,16.1695447409733,100,1.421,43.2824574796748,113.474044715447,217,2000
