designation,Area,Cent_x,Cent_y,Count
group538.1,21653,-85.76334457163125,41.4376644274375,32
group539.1,96538,-85.01647252700079,41.43496521061349,126
group540.1,74211,-84.86893600303766,41.43551997228831,77
group541.1,193293,-85.26217267177405,41.42779720661085,212
group541.2,15221,-85.25971494402222,41.42316741329444,18
group542.1,103539,-87.34762667471456,41.42200187128544,103
group543.1,21370,-85.02542873433461,41.423372046253846,26
group545.1,29707,-84.872620958388,41.416182888832,25
group546.1,159701,-85.65837157594943,41.40875841613391,174
group547.1,187693,-85.60077247915451,41.40680213527854,233
group548.1,19883,-86.378312535515,41.401374098895005,20
group549.1,18240,-85.83733868997601,41.398717616552005,25
group550.1,31457,-85.41188219552001,41.391737234545005,40
group550.2,11856,-85.41543798105334,41.39290601038,15
group550.3,10073,-85.41982358963077,41.39331689714615,13
group550.4,5132,-85.42788847108571,41.3940176661,7
group551.1,48049,-85.5457477055475,41.391509278745005,40
group552.1,42445,-86.58428151885491,41.38730416882745,51
group553.1,15067,-85.660051157245,41.38664449969,20
group553.2,15559,-85.66671442114762,41.38158508046191,21
group554.1,516085,-85.07493093852766,41.37301448334108,611
group555.1,50750,-87.44472809372968,41.374903405390626,64
group556.1,149433,-85.13340203519085,41.36459427459086,164
group557.1,33718,-86.31369425788205,41.36299277758205,39
group558.1,35913,-86.00252861215,41.3605246350125,48
group559.1,93094,-85.23309878662803,41.35985644884018,107
group560.1,92627,-86.31297743735776,41.354579118539654,116
group561.1,41873,-85.48372290445424,41.35376074312373,59
group562.1,184485,-86.29876970344182,41.3513981686897,165
group562.2,26773,-86.30108227544763,41.345101080597615,42
group563.1,45455,-86.33158500126285,41.34543815156,35
group564.1,256764,-86.81343690414627,39.52204839994591,281
group566.1,24735,-87.38300957693333,39.52122769961667,30
group567.1,62425,-85.75786880087223,39.517936627754445,90
group567.2,47803,-85.76699335988195,39.52041469557361,72
group568.1,169849,-86.07827778105512,39.519174773605684,176
group569.1,13809,-86.1684288901,39.518554046941176,17
group570.1,38604,-87.136745833075,39.51768954198864,44
group571.1,196970,-85.79648091211658,39.514799830097324,187
group573.1,23539,-87.382878140088,39.513623577772,25
group574.1,18007,-87.17802075445417,39.51089804464167,24
group575.1,42395,-87.25925068676251,39.49345952173959,48
group576.1,77489,-87.28268417677629,39.48898813782887,97
group577.1,37361,-85.75037638893696,39.48661596000869,46
group578.1,287173,-86.07997087591258,39.475336542087064,286
group579.1,52415,-86.03267417221363,39.46669462898182,66
group580.1,29405,-87.45490476927,39.461004569095,40
group581.1,18745,-87.48819457084616,39.45306006392308,26
group582.1,25658,-86.45860714978214,39.44381128717857,28
group583.1,42088,-85.63239935873392,39.43225871876964,56
group584.1,26030,-86.43658697065294,39.42921492308823,34
group585.1,37174,-87.43684419231464,39.42026246115366,41
group586.1,37842,-84.9082759900186,39.416927631083716,43
group587.1,104311,-86.41749551457029,39.407398956796044,101
group587.2,49448,-86.41963943560783,39.407618071452944,51
group587.3,34965,-86.41738503979575,39.413437481978725,47
group587.4,47172,-86.4207624686303,39.4119416973591,66
group588.1,87023,-87.42388179560761,39.411130675034286,105
group589.1,37414,-85.00825432653333,39.41016357374524,42
group590.1,50625,-85.9518091764386,39.39742944141929,57
group591.1,19903,-87.31743357902857,39.392504132575006,28
group592.1,24413,-87.48628054179687,39.38841788275625,32
group594.1,72218,-85.49750056897591,39.357275177553014,83
group595.1,89028,-85.97829315217315,39.35251851450648,108
group595.2,30978,-85.97414606753095,39.354439858988094,42
group596.1,13709,-85.480615600744,39.347667618908,25
group598.1,22095,-85.49227831174375,39.329974333696875,32
group599.1,164371,-85.97270883167039,39.32273568923185,179
group6.1,1074169,-87.5929726303238,38.03234431719003,1013
group600.1,35239,-84.90416683711739,39.310976429673914,46
group601.1,12527,-85.32729152662,39.30875926753333,15
group602.1,15602,-85.248641288435,39.30849490342,20
group603.2,44521,-85.7731838039245,39.30493333821633,49
group603.4,10344,-85.76573823377143,39.29924597692143,14
group604.3,19551,-85.75755220501364,39.30095293264091,22
group605.1,328900,-85.95768273099118,39.287399521972645,329
group605.2,99323,-85.96950767236557,39.29925725418,90
group606.1,31089,-86.76368298861429,39.29211746744,35
group607.1,61478,-86.77261017895921,39.291133700310525,76
group610.1,18663,-86.38163934079999,39.26393663306111,18
